id,region,sexo,edad,p72,p72_1,p72_1otr,p72_2,p73,p74,p74_1,p74_2,p74_3,p74_4,p74_4_bis,p75_1,p75_2,p75_3,p75_4,p76horas,p76minutos,horas_internet,minutos_internet,p77_1,p77_2,p77_3,p77_4,p77_5,p77_6,p77_7,p77_8,p77_9,p77_10,p78_1,p78_2,p78_3,p78_4,p78_5,p78_1_1,p78_1_2,p78_1_3,p78_1_4,p78_1_5,p78_2b,p78_3b_1,p78_3b,p79_1,p79_2,p79_3,p79_4,p79_5,p79_6,p79_7,p80horas,p80minutos,horas_redes,minutos_redes,p81,p81_1a,p81_1b,p81_1c,p81_1d,p81_1e,p81_1f,p81_1g,p81_1h,p81_1i,p81_1j,p81_1k,p81_1l,p82,p83,p84,p85,p85_1,p85_2,p85_3,p85_3_bis,p86,p87,p88,p89horas,p89minutos,horas_videojuegos,minutos_videojuegos,p90_1,p90_2,p90_3,p90_4,p91,p91_bis,minutos_radio_1,minutos_radio_total,horas_radio_total,minutos_musica_1,minutos_musica_total,horas_musica_total,minutos_diario_1,minutos_diario_total,horas_diario_total,minutos_tv_1,minutos_tv_total,horas_tv_total,minutos_internet_1,minutos_internet_total,horas_internet_total,minutos_redes_1,minutos_redes_total,horas_redes_total,minutos_videojuegos_1,minutos_videojuegos_total,horas_videojuegos_total
1,CENTRO,Varón,19,SI,, ,NA,NA,SI,NA,,NS/NC,NS/NC,NS/NC,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,8,NO USA,8,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,4,0,4,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,1,SI,1,SI,SI,400,400,0,SI,ALGUNOS DIAS POR SEMANA,1,0,1,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,0,0,60,60,1,60,90,1.5,60,60,1,60,60,1,480,480,8,240,240,4,60,60,1
2,CENTRO,Varón,24,SI,, ,NA,NA,NO,NO,,NA,,0,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,2,NO USA,2,NO USA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,SI,NO,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NUNCA,NA,NA,NO,NA, ,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,1,0,1,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,NO,145,145,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,60,60,1,180,180,3,0,30,0.5,0,45,0.75,120,120,2,60,60,1,0,0,0
3,CENTRO,Varón,30,SI,, ,NA,NA,NO,SI,900,NA,,0,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,7,NO USA,7,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,2,0,2,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",NOTICIAS Y OPINION,,,,,,,,,,,,1,1,NO,1,SI,SI,500,500,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,60,90,1.5,60,60,1,60,60,1,0,30,0.5,420,420,7,120,120,2,0,0,0
4,CENTRO,Varón,53,SI,, ,NA,NA,NO,SI,542,NA,,0,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,6,NO USA,6,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,SI,NO,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,5,0,5,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,1,SI,1,SI,SI,400,400,NS/NC,NO,NA,,,0,0,NA,NA,NA,NA,,0,180,180,3,60,60,1,60,60,1,60,60,1,360,360,6,300,300,5,0,0,0
5,CENTRO,Varón,70,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,1100,1100,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,4,NO USA,4,NO USA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,NO,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,ALGUNAS VECES AL MES,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NS/NC,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,2,0,2,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,SI,500,500,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,180,180,3,60,60,1,60,60,1,240,240,4,240,240,4,120,120,2,0,0,0
6,CENTRO,Mujer,15,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,1000,1000,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,5,NO USA,5,NO USA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,SI,SI,SI,SI,NO,ALGUNA VEZ CADA 3 MESES,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NA,SI,WHATSAPP, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,5,0,5,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,SI,0,0,0,SI,ALGUNA VEZ AL AÑO O MENOS,0,15,0,15,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,0,0,120,120,2,120,120,2,0,15,0.25,0,45,0.75,300,300,5,300,300,5,0,15,0.25
7,CENTRO,Mujer,25,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO,900,900,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,24,NO USA,24,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NA,NA,SI,TINDER, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,10,0,10,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",MÚSICA,VIDEO,NOTICIAS Y OPINION,APLICACIONES,ANIMACIONES,,,,,,,,3,NINGUNA,SI,1,SI,SI,350,350,17000,SI,ALGUNA VEZ CADA 3 MESES,0,30,0,30,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,0,0,120,150,2.5,60,60,1,0,20,0.333333333,60,90,1.5,1440,1440,24,600,600,10,0,30,0.5
8,CENTRO,Mujer,40,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,500,500,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,8,NO USA,8,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ CADA 3 MESES,NA,NA,NO,NA, ,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,3,0,3,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,2,SI,1,SI,NO,650,650,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,240,240,4,120,120,2,180,180,3,60,60,1,480,480,8,180,180,3,0,0,0
9,CENTRO,Mujer,53,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,699,699,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,4,NO USA,4,NO USA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,2,0,2,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,NO,560,560,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,240,240,4,240,240,4,120,120,2,240,240,4,240,240,4,120,120,2,0,0,0
10,CENTRO,Mujer,66,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",690,690,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,5,NO USA,5,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,SI,NO,NO,NO,NO,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NA,NO,NA, ,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,4,0,4,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,NO,0,0,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,0,0,120,120,2,60,60,1,360,360,6,300,300,5,240,240,4,0,0,0
