provincia,partido,localidad,poblacion,adsl,cable_modem,dial_up,fibra_opt,satelital,wireless,telefonia_fija,3g,4g,link,latitud,longitud
Buenos Aires,Bahía Blanca,Villa Bordeau,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,6056020,-38.6472605094596,-62.3200223419024
Buenos Aires,Bahía Blanca,Villa Espora,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,6056020,-38.7765069529222,-62.1851833537179
Buenos Aires,Balcarce,Balcarce,38376,SI,SI,SI,SI,NO,SI,SI,SI,SI,6063010,-37.8482779294345,-58.2551665841248
Buenos Aires,Balcarce,Los Pinos,337,NO,NO,NO,NO,NO,SI,SI,NO,NO,6063020,-37.9412057603,-58.3225920150442
Buenos Aires,Balcarce,Napaleofú,374,NO,NO,NO,SI,NO,SI,SI,SI,SI,6063030,-37.6254980210026,-58.7461862359423
Buenos Aires,Balcarce,Ramos Otero,95,NO,NO,NO,NO,NO,SI,NO,NO,SI,6063040,-37.5426353712017,-58.3407185507274
Buenos Aires,Balcarce,San Agustín,498,NO,NO,NO,NO,NO,SI,SI,NO,NO,6063050,-38.0122838564587,-58.355377761682
Buenos Aires,Balcarce,Villa Laguna La Brava,115,NO,NO,NO,NO,NO,SI,SI,SI,SI,6063060,-37.8596285282151,-57.9806008736401
Buenos Aires,Baradero,Baradero,28537,SI,SI,NO,SI,SI,SI,SI,SI,SI,6070010,-33.8128781547156,-59.5043068852807
Buenos Aires,Baradero,Irineo Portela,379,NO,NO,NO,SI,SI,SI,SI,NO,NO,6070020,-33.9810489198561,-59.6715601606315
Buenos Aires,Baradero,Santa Coloma,203,NO,NO,NO,NO,NO,SI,NO,NO,SI,6070030,-34.062154134736,-59.5585420642846
Buenos Aires,Baradero,Villa Alsina (Est. Alsina),1488,SI,NO,NO,NO,NO,SI,SI,SI,SI,6070040,-33.9096038045591,-59.3882017132282
Buenos Aires,Benito Juárez,Barker,1241,NO,NO,SI,SI,SI,SI,SI,SI,SI,6084010,-37.6424111302365,-59.3889380312927
Chubut,Futaleufú,Lago Rosario,87,NO,NO,NO,NO,SI,NO,SI,NO,NO,26035040,-43.2500168518714,-71.3512318442886
Buenos Aires,General Las Heras,General Las Heras (Est. Las Heras),11331,SI,SI,SI,SI,NO,SI,SI,SI,SI,6329020,-34.9267739074255,-58.9453407851291
Buenos Aires,General Las Heras,La Choza,41,NO,NO,NO,NO,NO,NO,NO,NO,NO,6329030,-34.7829908276155,-59.1095647693247
Buenos Aires,General Las Heras,Lozano,0,NO,NO,NO,NO,SI,NO,NO,NO,NO,6329020,-34.8542796259808,-59.0533451317779
Buenos Aires,General Las Heras,Plomer,198,NO,NO,NO,NO,NO,NO,SI,NO,NO,6329050,-34.7941193667757,-59.0279756935744
Buenos Aires,General Las Heras,Villars,1147,NO,SI,SI,SI,NO,NO,SI,NO,NO,6329060,-34.8300241949658,-58.9422589402025
Buenos Aires,General Lavalle,Chacras De San Clemente,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,6336020,-36.4080851872455,-56.9433553335054
Buenos Aires,General Lavalle,General Lavalle,1827,NO,SI,NO,SI,SI,SI,SI,SI,SI,6336020,-36.4080851872455,-56.9433553335054
Buenos Aires,General Lavalle,Pavón,942,NO,NO,NO,SI,NO,SI,NO,SI,SI,6336030,-36.7089537726649,-56.7598433617574
