año,trimestre,mbps_media,ingresos_miles,banda_ancha_fija,dial_up,total,periodo
2022,3,62.46,67055930,11078691,12437,11091128,Jul-Sept 2022
2022,2,58.44,60335724,10946248,12436,10958684,Abr-Jun 2022
2022,1,55.11,55589997,10611390,12619,10624009,Ene-Mar 2022
2021,4,52.34,45467887,10476933,12861,10489794,Oct-Dic 2021
2021,3,48.46,42999944,10075184,10357,10085541,Jul-Sept 2021
2021,2,45.63,38239667,9852702,10382,9863084,Abr-Jun 2021
2021,1,43.11,36676371,9637956,10016,9647972,Ene-Mar 2021
2020,4,42.36,33539703,9561546,10016,9571562,Oct-Dic 2020
2020,3,40.67,31997445,9346183,10016,9356199,Jul-Sept 2020
2020,2,38.32,32102476,9021040,10016,9031056,Abr-Jun 2020
2020,1,37.52,29946216,8802435,9991,8812426,Ene-Mar 2020
2019,4,28.26,24169251,8783053,10128,8793181,Oct-Dic 2019
2019,3,24.18,21652748,9142891,21793,9164684,Jul-Sept 2019
2019,2,20.33,20743118,8938427,21754,8960181,Abr-Jun 2019
2019,1,17.38,20207414,8626323,21812,8648135,Ene-Mar 2019
2018,4,15.95,16637687,8451841,21814,8473655,Oct-Dic 2018
2018,3,15.36,15410981,8320223,26812,8347035,Jul-Sept 2018
2018,2,13.85,14319467,8083533,26911,8110444,Abr-Jun 2018
2018,1,13.22,13171459,8009981,27072,8037053,Ene-Mar 2018
2017,4,12.01,11226127,7842778,27444,7870222,Oct-Dic 2017
2017,3,8.34,10065998,7696594,28349,7724943,Jul-Sept 2017
2017,2,7.16,9678647,7401134,2853,7429664,Abr-Jun 2017
2017,1,6.62,8701201,7277314,2854,7305854,Ene-Mar 2017
2016,4,6.34,7483980,7223128,28545,7251673,Oct-Dic 2016
2016,3,5.94,6912442,7178340,2861,7206950,Jul-Sept 2016
2016,2,5.42,6534241,7097604,32475,7130079,Abr-Jun 2016
2016,1,5.08,5936845,6874704,32652,6907356,Ene-Mar 2016
2015,4,4.99,5376899,6952289,32542,6984831,Oct-Dic 2015
2015,3,4.79,5153739,6902267,32801,6935068,Jul-Sept 2015
2015,2,4.55,4701791,6783279,32909,6816188,Abr-Jun 2015
2015,1,4.35,4876385,6699714,38018,6737732,Ene-Mar 2015
2014,4,4.16,3950441,6559172,39324,6598496,Oct-Dic 2014
2014,3,3.87,3478638,6559264,36007,6595271,Jul-Sept 2014
2014,2,3.76,3270816,6428329,36139,6464468,Abr-Jun 2014
2014,1,3.62,2984054,6362108,3629,6398398,Ene-Mar 2014
