provincia,poblacion,region
Capital Federal,3093845,Buenos Aires
Buenos Aires,17451860,Buenos Aires
Catamarca,427417,NOA
Chaco,1137086,NEA
Chubut,599612,Patagonia
Cordoba,3946326,Centro
Corrientes,1195576,NEA
Entre Rios,1416463,NEA
Formosa,604278,NEA
Jujuy,797091,NOA
La Pampa,364560,Patagonia
La Rioja,383128,NOA
Mendoza,2001302,Cuyo
Misiones,1275168,NEA
Neuquen,723670,Patagonia
Rio Negro,758001,Patagonia
Salta,1432082,NOA
San Juan,814877,Cuyo
San Luis,539872,Cuyo
Santa Cruz,331707,Patagonia
Santa Fe,3536001,NEA
Santiago del Estero,1050268,NOA
Tierra del Fuego,189785,Patagonia
Tucuman,1700845,NOA
