año,trimestre,provincia,hasta_512kbps,512_kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,30mbps_x,otras_velocidades,total_x,accesos_100_hogares,banda_ancha_fija,dial_up,total_y
2022,3,Buenos Aires,29985,27709,290315,297915,267044,12419,3618689,65821,4721668,78.11,4715469,6199,4721668
2022,3,Capital Federal,517,5742,34371,67829,51946,28692,1253105,105477,1547679,122.28,1545534,2145,1547679
2022,3,Catamarca,71,384,3107,5389,5099,3737,50298,2208,70293,65.33,70292,1,70293
2022,3,Chaco,461,987,16782,18938,8049,15828,7939,3711,144146,43.86,144141,5,144146
2022,3,Chubut,109,1444,45707,3094,34682,15309,17563,20024,165778,84.38,164874,904,165778
2022,3,Córdoba,99,11312,153324,111615,70989,27112,650344,13873,1038668,88.31,1038600,68,1038668
2022,3,Corrientes,67,3865,23427,23948,7776,21706,5695,7107,144846,48.21,144842,4,144846
2022,3,Entre Ríos,107,5549,4721,46855,18263,32021,102195,16759,268959,63.67,268937,22,268959
2022,3,Formosa,97,307,23538,19545,6194,564,17704,589,68538,43.76,68537,1,68538
2022,3,Jujuy,58,1879,19135,15254,36083,519,45895,0,118823,58.91,118823,0,118823
2022,3,La Pampa,68,1887,6154,9653,11592,5609,22731,3012,116092,96.59,115921,171,116092
2022,3,La Rioja,18,689,2842,3375,24219,5331,5039,0,86864,80.66,8686,4,86864
2022,3,Mendoza,103,2953,44232,21977,48201,17243,150043,4771,289523,51.03,288746,777,289523
2022,3,Misiones,51,3749,36628,20758,12676,19615,8033,835,182157,51.82,182157,0,182157
2022,3,Neuquén,134,991,38485,1408,92,67,78713,14858,163161,80.37,162693,468,163161
2022,3,Río Negro,111,1221,32936,1786,27934,13629,42596,24271,160558,67.98,16001,548,160558
2022,3,Salta,114,149,32923,71199,5662,1001,85661,6491,204541,57.76,204536,5,204541
2022,3,San Juan,24,2027,30324,11247,22157,678,19221,11619,103399,50.8,103118,281,103399
2022,3,San Luis,60,307,6563,20813,12061,67438,13,14815,12207,81.74,121888,182,12207
2022,3,Santa Cruz,52,6841,12342,11313,11378,2333,4604,647,4951,43.19,49312,198,4951
2022,3,Santa Fe,468,11132,132709,198588,70897,57455,396352,20209,88781,78.55,8877,110,88781
2022,3,Santiago Del Estero,178,1384,28357,58982,16087,910,12342,792,119032,47.98,11903,2,119032
2022,3,Tierra Del Fuego,22,831,12002,14815,20102,1752,1021,3351,53896,99.51,53584,312,53896
2022,3,Tucumán,39,2047,32571,39018,25214,4348,1596,280,263117,61.14,263087,30,263117
2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849,4667183,77.58,4660984,6199,4667183
2022,2,Capital Federal,517,598,36036,72434,55372,31571,1229254,105607,1536771,121.31,1534626,2145,1536771
2022,2,Catamarca,71,413,3678,6155,7165,3393,43926,2207,67008,62.4,67007,1,67008
2022,2,Chaco,461,1047,17603,20109,8391,15974,76271,3708,143564,43.79,143559,5,143564
2022,2,Chubut,109,1444,45804,31217,3429,14526,15394,20021,162805,83.19,161901,904,162805
2022,2,Córdoba,99,11971,160486,120485,71923,28645,6194,13426,1026435,87.48,1026367,68,1026435
2022,2,Corrientes,67,3937,24253,24842,8001,21719,55071,7107,144997,48.35,144993,4,144997
2022,2,Entre Ríos,107,5656,48637,48557,18512,32355,98769,16759,269352,63.9,26933,22,269352
2022,2,Formosa,97,407,23834,19706,633,591,16326,590,67881,43.42,67881,0,67881
2022,2,Jujuy,58,1829,19458,1579,37786,549,37391,2453,115314,57.32,115314,0,115314
2022,2,La Pampa,68,1887,62546,9842,118,5247,17125,3012,111527,92.98,111356,171,111527
2022,2,La Rioja,18,728,3179,389,23814,5481,4892,0,8603,80.14,86026,4,8603
2022,2,Mendoza,103,2954,44961,22557,64138,19543,121366,394,279562,49.39,278785,777,279562
2022,2,Misiones,51,3808,37254,21712,12774,19757,75107,835,178813,51.0,178813,0,178813
2022,2,Neuquén,134,999,38826,15066,9205,2039,76982,18717,161968,80.02,1615,468,161968
2022,2,Río Negro,111,1227,33364,17938,27168,13714,41972,2427,159764,67.85,159216,548,159764
2022,2,Salta,114,153,33732,72661,6012,1156,81478,6494,203177,57.54,203172,5,203177
2022,2,San Juan,24,2027,30385,11276,24649,3728,16701,11617,100407,49.46,100126,281,100407
2022,2,San Luis,60,306,684,21217,11052,67438,13,14815,121741,81.76,121559,182,121741
2022,2,Santa Cruz,52,6841,12348,11369,11885,2454,3592,644,49185,43.15,48987,198,49185
2022,2,Santa Fe,468,11757,138534,204381,74133,58114,373888,17584,878859,77.9,878749,110,878859
