provincia,promedio_salario
Buenos Aires,345171.0516
Capital Federal,406617.4563
Catamarca,195569.2105
Chaco,181364.6624
Chubut,321039.8417
Cordoba,237196.3695
Corrientes,179483.2278
Entre Rios,206123.8398
Formosa,173632.5463
Jujuy,208999.7906
La Pampa,216319.7588
La Rioja,175053.8710
Mendoza,248279.2392
Misiones,182831.7179
Neuquen,318728.4739
Rio Negro,274416.3494
Salta,223319.1198
San Juan,214552.9530
San Luis,219959.5108
Santa Cruz,335884.1198
Santa Fe,260687.2381
Santiago del Estero,164422.0901
Tierra del Fuego,345979.8553
Tucuman,234083.8375
